Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$518,29",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$518,29",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$488,29",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:42
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$398,44",,2025-07-23 20:30:50
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-23 20:30:50
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-23 20:30:50
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$388,49",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CONV. DD,"R$283,61",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$438,24",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CONV. DD,"R$283,61",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$388,49",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,EXECUTIVO,"R$283,61",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$528,23",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$518,29",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-23 20:30:51
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$398,44",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$438,24",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$293,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$308,59",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$528,23",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,"R$443,31",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$518,29",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$378,51",,2025-07-23 20:30:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-23 20:30:55
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$378,51",,2025-07-23 20:30:55
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$373,51",,2025-07-23 20:30:55
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$518,29",,2025-07-23 20:30:55
