Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,CAMA,R$,,2024-10-23 18:23:56
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,CAMA,""R$408,01"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,SEMILEITO PREMIUM,""R$139,99"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,CAMA,""R$422,94"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,SEMILEITO PREMIUM,""R$139,99"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,CAMA,""R$447,81"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,SEMILEITO PREMIUM,""R$139,99"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),23/10/2024,CAMA,""R$422,94"",,2024-10-23 18:23:56"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,""R$278,66"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$139,24"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$144,21"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,""R$278,66"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CONV. DD,""R$139,36"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,""R$308,51"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,EXECUTIVO,""R$149,19"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,""R$447,81"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,EXECUTIVO,""R$149,19"",,2024-10-23 18:24:05"
São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,R$,,2024-10-23 18:24:05
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$184,14"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:24:05"
São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,R$,,2024-10-23 18:24:05
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,CAMA,""R$422,94"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),24/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:24:05"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:24:14"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,CAMA,""R$308,51"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,SEMILEITO PREMIUM,""R$169,21"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,CAMA,""R$308,51"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,CAMA,""R$328,41"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,SEMILEITO PREMIUM,""R$164,24"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,EXECUTIVO,""R$149,19"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,EXECUTIVO,""R$149,19"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,CAMA,""R$472,69"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,SEMILEITO PREMIUM,""R$209,16"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,EXECUTIVO,""R$149,19"",,2024-10-23 18:24:15"
